,id,name,height,weight,ability_1,ability_3,forms_switchable,gender_rate,genera,has_gender_differences,is_baby,is_legendary,is_mythical,color,evolves_from_species,generation,habitat,shape,egg_group_0,egg_group_1,flavor_text_0,flavor_text_1,flavor_text_2,flavor_text_3,flavor_text_4,flavor_text_5,flavor_text_6,flavor_text_7,flavor_text_8,flavor_text_9,flavor_text_10,flavor_text_11,front_sprite,female_sprite,shiny_sprite,shiny_female_sprite,artwork,artwork_shiny,hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,flavor_text_12,flavor_text_13,flavor_text_14,flavor_text_15,flavor_text_16,flavor_text_17,ability_2,flavor_text_18,flavor_text_19,flavor_text_20,flavor_text_21,flavor_text_22,flavor_text_23,flavor_text_24,flavor_text_25
0,1,bulbasaur,7,69,overgrow,chlorophyll,False,1,Seed Pokemon,False,False,False,False,green,,generation-i,grassland,quadruped,monster,plant,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.",A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon.,There is a plant seed on its back right from the day this POKeMON is born. The seed slowly grows larger.,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",There is a plant seed on its back right from the day this Pokemon is born. The seed slowly grows larger.,"For some time after its birth, it grows by gaining nourishment from the seed on its back.","It carries a seed on its back right from birth. As it grows older, the seed also grows larger.",A strange seed was planted on its back at birth. The plant sprouts and grows with this POKeMON.,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.",The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/1.png,45,49,49,65,65,45,grass,poison,,,,,,,,,,,,,,,
1,2,ivysaur,10,130,overgrow,chlorophyll,False,1,Seed Pokemon,False,False,False,False,green,bulbasaur,generation-i,grassland,quadruped,monster,plant,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom.",The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.,"There is a bud on this Pokemon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.",The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.,Exposure to sun light adds to its strength. Sunlight also makes the bud on its back grow larger.,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,"There is a bud on this POKeMON's back. To support its weight, IVYSAUR's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom.","To support its bulb, IVYSAUR's legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/2.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/2.png,60,62,63,80,80,60,grass,poison,,,,,,,,,,,,,,,
2,3,venusaur,20,1000,overgrow,chlorophyll,True,1,Seed Pokemon,True,False,False,False,green,ivysaur,generation-i,grassland,quadruped,monster,plant,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,There is a large flower on VENUSAUR's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,VENUSAUR's flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokemon.",There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime.",The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy.,"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.",The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,"It is able to con vert sunlight into energy. As a result, it is more powerful in the summertime.","As it warms it self and absorbs the sunlight, its flower petals release a pleasant fragrance.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/3.png,80,82,83,100,100,80,grass,poison,,,,,,,,,,,,,,,
3,4,charmander,6,85,blaze,solar-power,False,1,Lizard Pokemon,False,False,False,False,red,,generation-i,mountain,upright,monster,dragon,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged.","It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.,"The flame on its tail indicates CHARMANDER's life force. If it is healthy, the flame burns brightly.","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKeMON becomes enraged, the flame burns fiercely.","Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.","If it's healthy, the flame on the tip of its tail will burn vigor ously, even if it gets a bit wet.","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokemon becomes enraged, the flame burns fiercely.","The flame on its tail indicates Charmander's life force. If it is healthy, the flame burns brightly.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/4.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/4.png,39,52,43,60,50,65,fire,,,,,,,,,,,,,,,,
4,5,charmeleon,11,190,blaze,solar-power,False,1,Flame Pokemon,False,False,False,False,red,charmander,generation-i,mountain,upright,monster,dragon,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.","When it swings its burning tail, it elevates the air temperature to  unbearably high levels.","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","Tough fights could excite this Pokemon. When excited, it may breathe out bluish-white flames.",It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.,"When it swings its burning tail, it elevates the air temperature to unbearably high levels.","It is very hot headed by nature, so it constantly seeks opponents. It calms down only when it wins.","Tough fights could excite this POKeMON. When excited, it may blow out bluish- white flames.","In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.","In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.","Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/5.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/5.png,58,64,58,80,65,80,fire,,"CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","When it swings its burning tail, it elevates the temperature to unbearably high levels.","It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins.",,,,,,,,,,,,
5,6,charizard,17,905,blaze,solar-power,True,1,Flame Pokemon,False,False,False,False,red,charmeleon,generation-i,mountain,upright,monster,dragon,"Breathing intense, hot flames, it can melt almost any thing. Its breath inflicts terrible pain on enemies.",Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",It uses its wings to fly high. The temperature of its fire increases as it gains exper ience in battle.,"A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe.","When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely.",It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,"If CHARIZARD be comes furious, the flame at the tip of its tail flares up in a whitish- blue color.","When this Pokemon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely.","CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/6.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/6.png,78,84,78,109,85,100,fire,flying,It is said that CHARIZARD's fire burns hotter if it has experienced harsh battles.,"Its wings can carry this Pokemon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",It is said that Charizard's fire burns hotter if it has experienced harsh battles.,"Its wings can carry this POKeMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures.","Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies.",,,,,,,,,,
6,7,squirtle,5,90,torrent,rain-dish,False,1,Tiny Turtle Pokemon,False,False,False,False,blue,,generation-i,waters-edge,upright,monster,water1,"When it retracts its long neck into its shell, it squirts out water with vigorous force.","After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","SQUIRTLE's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKeMON to swim at high speeds.","Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling SQUIRTLE to swim at high speeds.","Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokemon to swim at high speeds.","The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it.","The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out.",Shoots water at prey while in the water. Withdraws into its shell when in danger.,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.","The shell is soft when it is born. It soon becomes so resilient, prod ding fingers will bounce off it.","After birth, its back swells and hardens into a shell. It powerfully sprays foam  from its mouth.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/7.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/7.png,44,48,65,50,64,43,water,,It shelters itself in its shell then strikes back with spouts of water at every opportunity.,"When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.",,,,,,,,,,,,,
7,8,wartortle,10,225,torrent,rain-dish,False,1,Turtle Pokemon,False,False,False,False,blue,squirtle,generation-i,waters-edge,upright,monster,water1,"When tapped on its head, this Pokemon will pull it in, but its tail will still stick out a little bit.","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokemon's toughness as a battler.","It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.","Its long, furry tail is a symbol of longevity, making it quite popular among older people.","It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.","When tapped, this Pokemon will pull in its head, but its tail will still stick out a little bit.","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages. The scratches on its shell are evidence of this POKeMON's toughness as a battler.",This POKeMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity.,It cleverly con trols its furry ears and tail to maintain its balance while swimming.,It cleverly controls its furry ears and tail to maintain its balance while swimming.,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.","It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/8.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/8.png,59,63,80,65,80,58,water,,"Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKeMON's toughness in battle.","Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","When tapped, this POKeMON will pull in its head, but its tail will still stick out a little bit.",,,,,,,,,,,
8,9,blastoise,16,855,torrent,rain-dish,True,1,Shellfish Pokemon,False,False,False,False,blue,wartortle,generation-i,waters-edge,upright,monster,water1,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,The pressurized water jets on this brutal Pokemon's shell are used for high-speed tackles.,The rocket cannons on its shell fire jets of water capable of punch ing holes through thick steel.,The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet.,"Once it takes aim at its enemy, it blasts out water with even more force than a fire hose.",BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",A brutal POKeMON with pressurized water jets on its shell. They are used for high speed tackles.,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.,It firmly plants its feet on the ground before shooting water from the jets on its back.,The pressurized water jets on this brutal POKeMON's shell are used for high- speed tackles.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/9.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/9.png,79,83,100,85,105,78,water,,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,It deliberately makes itself heavy so it can with stand the recoil of the water jets it fires.,,,,,,,,,,,,,
9,10,caterpie,3,29,shield-dust,run-away,False,4,Worm Pokemon,False,False,False,False,green,,generation-i,forest,armor,bug,,"It's easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokemon Trainers.",It crawls into foliage where it camouflages itself among leaves that are the same color as its body.,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.,"CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKeMON releases a terrifically strong odor.","If you touch the feeler on top of its head, it will release a horrible stink to protect itself.",Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.,"It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon.","For protection, it releases a horri ble stench from the antenna on its head to drive away enemies.","Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.","For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/10.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10.png,45,30,35,20,20,45,bug,,"When attacked by bird Pokemon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.","For protection, it releases a horrible stench from the antennae on its head to drive away enemies.","Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food.","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokemon releases a terrifically strong odor.",,,,,,,,,,,
